Wall time,Step,Value
1736795409.1129682,231311,24.0
1736795760.3378668,233360,23.0
1736795894.7575393,234129,26.0
1736795917.0324879,234258,27.0
1736796095.0386713,235278,25.0
1736796213.9728334,235974,24.0
1736796340.2798283,236714,24.0
1736796440.1573856,237299,22.0
1736796944.440089,240211,25.0
1736797089.197649,241033,24.0
1736797208.2154388,241717,29.0
1736797478.2502787,243294,29.0
1736797629.762737,244167,25.0
1736797958.069249,246075,21.0
1736798218.4060946,247572,29.0
1736798289.478546,247980,26.0
1736798588.0540416,249715,23.0
1736798610.185487,249843,27.0
1736798651.5394118,250083,26.0
1736799364.7233093,254211,28.0
1736799384.6727905,254329,25.0
1736799404.721077,254445,24.0
1736799557.110534,255323,27.0
1736799809.318128,256782,29.0
1736800130.4463184,258649,22.0
1736800248.6504557,259332,28.0
1736800918.1932013,263038,21.0
1736801217.3913534,264737,20.0
1736801418.990134,265898,28.0
1736801619.1678832,267048,27.0
1736801741.0704172,267739,24.0
1736801830.1029124,268257,30.0
1736802213.4280138,270472,25.0
1736802261.184924,270743,26.0
1736802282.1788034,270865,26.0
1736802540.2866793,272366,28.0
1736802934.8983102,274662,23.0
1736803318.321715,276855,26.0
1736803490.7866533,277859,27.0
1736803978.203928,280693,24.0
1736804184.1514263,281877,28.0
1736804232.2464325,282139,30.0
1736804283.384176,282417,27.0
1736804367.259338,282906,24.0
1736804385.5097315,283013,21.0
1736804628.216327,284405,24.0
1736804706.7707508,284856,26.0
1736804881.0730984,285857,18.0
1736804945.510255,286233,27.0
1736805141.7207608,287366,25.0
1736805495.4824681,289376,26.0
1736805591.0904975,289923,26.0
1736805641.376984,290202,23.0
1736805967.195093,292099,21.0
1736806266.9057806,293840,29.0
1736806758.9764986,296681,22.0
1736807086.614881,298598,27.0
1736807107.8271468,298721,27.0
1736807255.8173862,299592,27.0
1736807370.5506287,300263,29.0
1736807482.0270076,300914,27.0
1736807570.4154067,301433,29.0
1736807618.734804,301706,26.0
1736807971.8878036,303734,24.0
1736808390.0982516,305753,23.0
1736808409.983723,305849,27.0
1736808552.1909668,306518,27.0
1736808643.899024,306843,27.0
1736809215.434138,309790,30.0
1736809285.0170903,310168,31.0
1736809447.5784788,311062,24.0
1736809519.2759786,311470,33.0
1736809538.679212,311582,24.0
1736809582.6195157,311836,29.0
1736809616.45226,311966,29.0
1736810038.759085,314142,27.0
1736810131.440339,314639,23.0
1736810320.2752018,315556,25.0
1736810865.0808794,318564,28.0
1736811044.9514468,319599,26.0
1736811358.0317838,321394,31.0
1736811385.9313312,321546,28.0
1736811499.0177639,322129,31.0
1736811763.7383974,323473,32.0
1736812437.7651768,326947,27.0
1736812482.9372575,327167,30.0
1736812523.2571876,327384,23.0
1736812704.2755666,328311,28.0
1736813127.2023177,330521,29.0
